Drug,Country,Total_Observed,Total_Predicted
Amoxycillin clavulanate_I,Singapore,120,119.99999999999906
Amoxycillin clavulanate_I,South Africa,989,988.999999999992
Amoxycillin clavulanate_I,Spain,4737,4736.999999999978
Amoxycillin clavulanate_I,Sweden,205,204.99999999999892
Amoxycillin clavulanate_I,Switzerland,542,541.9999999999967
Amoxycillin clavulanate_I,Taiwan,1042,1041.9999999999893
Amoxycillin clavulanate_I,Thailand,806,805.9999999999903
Amoxycillin clavulanate_I,Turkey,923,922.9999999999905
Amoxycillin clavulanate_I,Ukraine,102,101.99999999999878
Amoxycillin clavulanate_I,United Kingdom,1239,1238.999999999985
Amoxycillin clavulanate_I,United States,9942,9941.999999999907
Amoxycillin clavulanate_I,Venezuela,844,843.9999999999906
Amoxycillin clavulanate_I,Vietnam,43,43.00000000000004
Ampicillin_I,Argentina,2739,2738.9999999999927
Ampicillin_I,Australia,1865,1864.9999999999925
Ampicillin_I,Austria,794,793.9999999999966
Ampicillin_I,Belgium,4669,4668.999999999991
Ampicillin_I,Brazil,2316,2315.999999999991
Ampicillin_I,Canada,2673,2672.999999999992
Ampicillin_I,Chile,2046,2045.9999999999877
Ampicillin_I,China,5346,5345.999999999995
Ampicillin_I,Colombia,2081,2080.9999999999914
Ampicillin_I,Costa Rica,139,138.99999999999912
Ampicillin_I,Croatia,1101,1100.9999999999975
Ampicillin_I,Czech Republic,2638,2637.9999999999754
Ampicillin_I,Denmark,1159,1158.9999999999968
Ampicillin_I,Dominican Republic,80,79.99999999999949
Ampicillin_I,Finland,298,298.0000000000017
Ampicillin_I,France,8061,8060.999999999968
Ampicillin_I,Germany,7816,7815.999999999989
Ampicillin_I,Greece,2784,2783.999999999985
Ampicillin_I,Guatemala,448,447.99999999999716
Ampicillin_I,Hong Kong,519,518.9999999999984
Ampicillin_I,Hungary,2052,2051.999999999992
Ampicillin_I,India,941,940.9999999999964
Ampicillin_I,Ireland,1239,1238.9999999999893
Ampicillin_I,Israel,2267,2266.9999999999836
Ampicillin_I,Italy,8716,8715.999999999962
Ampicillin_I,Japan,1070,1069.999999999996
Ampicillin_I,Jordan,299,299.0000000000012
Ampicillin_I,Kenya,212,212.000000000001
Ampicillin_I,"Korea, South",2048,2047.999999999989
Ampicillin_I,Kuwait,2046,2045.9999999999961
Ampicillin_I,Latvia,452,451.9999999999939
Ampicillin_I,Lithuania,389,388.99999999999955
Ampicillin_I,Malaysia,693,692.9999999999972
Ampicillin_I,Mexico,3869,3868.999999999977
Ampicillin_I,Morocco,463,462.99999999999943
Ampicillin_I,Netherlands,1366,1365.999999999993
Ampicillin_I,Nigeria,588,587.9999999999959
Ampicillin_I,Pakistan,320,319.99999999999864
Ampicillin_I,Panama,441,440.99999999999443
Ampicillin_I,Philippines,2049,2048.9999999999905
Ampicillin_I,Poland,1543,1542.9999999999927
Ampicillin_I,Portugal,3255,3254.999999999989
Ampicillin_I,Romania,854,853.9999999999986
Ampicillin_I,Russia,2749,2748.9999999999886
Ampicillin_I,Saudi Arabia,248,247.99999999999966
Ampicillin_I,Serbia,80,79.99999999999892
Ampicillin_I,Singapore,232,231.9999999999995
Ampicillin_I,South Africa,2189,2188.999999999995
Ampicillin_I,Spain,9565,9564.999999999918
Ampicillin_I,Sweden,459,458.99999999999574
